tweet_id,text,negativereason_confidence,airline,retweet_count,negative_sentiment_score
570301130888122368,@virginamerica plus you've added commercials to the experience... tacky.,0.0,Virgin America,0,0.0
570301031407624196,"@virginamerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",0.7033,Virgin America,0,0.226
570300817074462722,@virginamerica and it's a really big bad thing about it,1.0,Virgin America,0,0.296
570300767074181121,"@virginamerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying va",0.6842,Virgin America,0,0.246
570300616901320704,"@virginamerica yes, nearly every time i fly vx this “ear worm” won’t go away :)",0.0,Virgin America,0,0.0
570294189143031808,@virginamerica did you know that suicide is the second leading cause of death among teens 10-24,0.0,Virgin America,0,0.375
570282469121007616,@virginamerica sfo-pdx schedule is still mia.,0.3684,Virgin America,0,0.306
570276917301137409,@virginamerica  i flew from nyc to sfo last week and couldn't fully sit in my seat due to two large gentleman on either side of me. help!,1.0,Virgin America,0,0.0
570265883513384960,@virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select???,0.3614,Virgin America,0,0.0
570256553502068736,@virginamerica you guys messed up my seating.. i reserved seating with my friends and you guys gave my seat away ... 😡 i want free internet,0.3557,Virgin America,0,0.073
570249102404923392,@virginamerica status match program.  i applied and it's been three weeks.  called and emailed with no response.,1.0,Virgin America,0,0.121
570239632807370753,@virginamerica what happened 2 ur vegan food options?! at least say on ur site so i know i won't be able 2 eat anything for next 6 hrs #fail,0.6614,Virgin America,0,0.119
570207886493782019,@virginamerica amazing to me that we can't get any cold air from the vents. #vx358 #noair #worstflightever #roasted #sfotobos,1.0,Virgin America,0,0.0
570124596180955136,@virginamerica lax to ewr - middle seat on a red eye. such a noob maneuver. #sendambien #andchexmix,0.0,Virgin America,0,0.07
570114021854212096,"@virginamerica hi! i just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during flight booking problems 😢",1.0,Virgin America,0,0.218
570088404156698625,"@virginamerica help, left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering l&amp;f number at lax!",1.0,Virgin America,0,0.09
